AÑO;MES;CONGLOME;VIVIENDA;HOGAR;UBIGEO;DOMINIO;ESTRATO;PERIODO;TIPENC;FECENT;RESULT;PANEL;P22;P23;P24A;P24B;P25$1;P25$2;P25$3;P25$4;P25$5;P101;P102;P103;P103A;P104;P104A;P104B1;P104B2;P105A;P105B;P106;P106A;P106B;P107B1;P107C11;P107C12;P107C13;P107C14;P107C16;P107C17;P107C18;P107C19;P107C110;P107D1;P107B2;P107C21;P107C22;P107C23;P107C24;P107C26;P107C27;P107C28;P107C29;P107C210;P107D2;P107B3;P107C31;P107C32;P107C33;P107C34;P107C36;P107C37;P107C38;P107C39;P107C310;P107D3;P107B4;P107C41;P107C42;P107C43;P107C44;P107C46;P107C47;P107C48;P107C49;P107C410;P107D4;P107E;P110;P110A1;P110A;P110A_MODIFICADA;P110C;P110C1;P110C2;P110C3;P110D;P110E;P110F;P110G;P111A;P1121;P1123;P1124;P1125;P1126;P1127;P112A;P1131;P1132;P1133;P1135;P1136;P1139;P1137;P1138;P113A;P1141;P1142;P1143;P1144;P1145;P114B1;P114B2;P114B3;P1171$01;P1171$02;P1171$04;P1171$05;P1171$06;P1171$07;P1171$08;P1171$09;P1171$10;P1171$11;P1171$12;P1171$13;P1171$14;P1171$15;P1171$16;P1171$17;P1172$01;P1172$02;P1172$04;P1172$05;P1172$06;P1172$07;P1172$08;P1172$09;P1172$10;P1172$11;P1172$12;P1172$13;P1172$14;P1172$15;P1172$16;P1172$17;P1173$01;P1173$02;P1173$04;P1173$05;P1173$06;P1173$07;P1173$08;P1173$09;P1173$10;P1173$11;P1173$12;P1173$13;P1173$14;P1173$15;P1173$16;P1173$17;P1174$01;P1174$02;P1174$04;P1174$05;P1174$06;P1174$07;P1174$08;P1174$09;P1174$10;P1174$11;P1174$12;P1174$13;P1174$14;P1174$15;P1174$16;P1174$17;P1175$01;P1175$02;P1175$04;P1175$05;P1175$06;P1175$07;P1175$08;P1175$09;P1175$10;P1175$11;P1175$12;P1175$13;P1175$14;P1175$15;P1175$16;P1175$17;P117T2;P117T3;P117T4;T110;P200I;P600I;P600D1;P600M1;P600A1;P600D2;P600M2;P600A2;P612I1;P612I11;P612I2;P612I22;P700I;P710I;P800I;P110I;TICUEST01;D105B;D106;D107D1;D107D2;D107D3;D107D4;D1172$01;D1173$01;D1174$01;D1172$02;D1173$02;D1174$02;D1172$04;D1173$04;D1174$04;D1172$05;D1173$05;D1174$05;D1172$06;D1173$06;D1174$06;D1172$07;D1173$07;D1174$07;D1172$08;D1173$08;D1174$08;D1172$09;D1173$09;D1174$09;D1172$10;D1173$10;D1174$10;D1172$15;D1173$15;D1174$15;D1172$16;D1173$16;D1174$16;D612I11;D1172$11;D1173$11;D1174$11;D1172$12;D1173$12;D1174$12;D1172$13;D1173$13;D1174$13;D1172$14;D1173$14;D1174$14;D1172$17;D1173$17;D1174$17;D612I22;I105B;I106;I1172$01;I1172$02;I1172$04;I1172$05;I1172$06;I1172$07;I1172$08;I1172$09;I1172$10;I1172$11;I1172$12;I1172$13;I1172$14;I1172$15;I1172$16;I1172$17;I1173$01;I1174$01;I1173$02;I1174$02;I1173$04;I1174$04;I1173$05;I1174$05;I1173$06;I1174$06;I1173$07;I1173$08;I1174$08;I1173$09;I1174$09;I1173$10;I1174$07;I1174$10;I1173$11;I1174$11;I1173$12;I1174$12;I1173$13;I1174$13;I1173$14;I1174$14;I1173$15;I1174$15;I1173$16;I1174$16;I1173$17;I1174$17;T111A;NBI1;NBI2;NBI3;NBI4;NBI5;FACTOR
2023;7;5231;55;11;21804;5;7;5;3;20230729;1;1;2;     .;1;1;0;1;0;1;0;1;3;5;4;4;3;2;2;2; ;150;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1;2;3;0;1;24; ; ;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;7;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;30;17; ; ; ; ; ; ; ;10; ;0;0; ; ;0;0;0; ; ; ; ; ; ; ;0; ;0;0; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ;0; ; ;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;57;0;0;1;1;2;12;7;2023;26;7;2023;2; ;2; ;2;2;2;1;2; ;82; ; ; ; ;0;0; ;16;0; ;9;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0; ; ; ; ; ; ; ;6;0; ; ; ; ;0;0; ; ; ; ; ; ;82;0;16;9; ; ; ; ; ; ; ;6; ;0;0; ; ;0; ;0; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;0; ;0;0; ; ; ; ;1;0;0;0;0;0;884.1657707
2023;7;5231;56;11;21804;5;7;5;3;20230727;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; .; .; .; .; ; .; .; ; ; ; ; ; .; .; .; .;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;884.1657707
2023;7;5231;130;11;21804;5;7;5;3;20230726;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; .; .; .; .; ; .; .; ; ; ; ; ; .; .; .; .;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;884.1657707
2023;7;5231;141;11;21804;5;7;5;3;20230727;1;1;2;     .;1;1;0;1;0;1;0;1;3;6;4;3;1;2;2;2; ;50;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1;1;3;0;1;24; ; ;2;1;2; ;1;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;6;0;1;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;12;8; ; ; ;3; ; ; ;3; ;0;0; ; ;0;0;0; ; ; ;15; ; ; ;0; ;0;0; ; ; ; ;0; ; ; ;0; ; ; ; ; ; ;0; ; ;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;26;15;0;1;2;2;11;7;2023;25;7;2023;2; ;2; ;2;2;2;2;2; ;27; ; ; ; ;0;0; ;7;0; ;4;0;0; ; ; ; ; ; ; ; ; ;2;8;0; ; ; ; ; ; ;0;0;0; ; ; ; ; ; ; ;2;0; ; ; ; ;0;0; ; ; ; ; ; ;27;0;7;4; ; ; ;2; ; ; ;2; ;0;0; ; ;0; ;0; ;0;0; ; ; ; ; ;8;0; ; ; ; ; ; ; ;0; ; ; ;0; ;0;0; ; ; ; ;1;0;0;0;0;0;884.1657707
2023;7;5231;144;11;21804;5;7;5;3;20230726;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; .; .; .; .; ; .; .; ; ; ; ; ; .; .; .; .;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;884.1657707
2023;7;5231;145;11;21804;5;7;5;3;20230728;1;1;2;     .;3;3;0;1;0;1;0;1;3;6;4;3;2;2;2;6; ;100; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1;2;3;0;1;24; ; ;1;1;2; ;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;7;0;0;0;0;1; ; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;40; ; ; ; ; ; ; ; ; ; ; ;0; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;40;0;0;1;2;2;11;7;2023;25;7;2023;2; ;2; ;2;2;2;2;2; ;54; ; ; ; ;0;0; ;22;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;54;0;22; ; ; ; ; ; ; ; ; ; ; ;0; ; ;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ;1;0;0;0;0;0;884.1657707
2023;7;5231;150;11;21804;5;7;5;3;20230728;4; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; .; .; .; .; ; .; .; ; ; ; ; ; .; .; .; .;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;884.1657707
2023;7;5231;155;11;21804;5;7;5;3;20230726;1;1;2;     .;3;3;0;0;0;1;0;1;3;6;4;8;2;2;2;2; ;150;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1;2;3;0;1;24; ; ;2;1;2; ;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;7;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;12;32; ; ; ; ; ; ; ;15; ;0;0; ; ;0;0;0; ; ; ; ; ; ; ;0; ;0;0; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ;0; ; ;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;59;0;0;1;1;1;11;7;2023;25;7;2023;2; ;2; ;1;1;1;1;2; ;82; ; ; ; ;0;0; ;7;0; ;17;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0; ; ; ; ; ; ; ;10;0; ; ; ; ;0;0; ; ; ; ; ; ;82;0;7;17; ; ; ; ; ; ; ;10; ;0;0; ; ;0; ;0; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;0; ;0;0; ; ; ; ;1;0;0;0;0;0;884.1657707
2023;7;5263;10;11;20101;5;3;2;3;20230712;1;1;2;     .;1;2;1;0;1;1;0;1;1;2;1;3;2;1;1;2; ;500;1;1;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0.600000024;1;24; ; ;1;1;1;1;1;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;3;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;8;62; ;23; ; ; ; ; ; ;33; ;0; ; ; ;0;0; ;0; ; ; ; ; ; ;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;126;0;0;1;1;1;27;6;2023;11;7;2023;2; ;2; ;1;1;1;1;2; ;272; ; ; ; ;4;0; ;34;0; ; ; ; ;13;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;21;0; ; ; ; ;0;0; ; ; ; ; ; ;272;4;34; ;13; ; ; ; ; ; ;21; ;0; ; ; ;0; ;0; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;0; ; ; ; ; ; ; ;1;0;0;0;0;0;805.277573
2023;7;5263;26;11;20101;5;3;2;3;20230713;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; .; .; .; .; ; .; .; ; ; ; ; ; .; .; .; .;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;805.277573
2023;7;5263;42;11;20101;5;3;2;3;20230712;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; .; .; .; .; ; .; .; ; ; ; ; ; .; .; .; .;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;805.277573
2023;7;5263;59;11;20101;5;3;2;3;20230716;1;1;2;     .;2;3;1;0;1;1;0;1;1;3;1;5;3;1;1;2; ;1000;1;1;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0.600000024;1;24; ; ;2;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;40;120;72; ; ; ; ; ; ;40;70;70;80; ; ; ;0;0;0; ; ; ; ; ; ;0;0;0;0; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;492;0;0;1;1;2;1;7;2023;15;7;2023;2; ;2; ;2;2;2;1;2; ;545; ; ; ; ;22;0; ;65;0; ;39;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;26;0; ;45;0; ;45;0; ;52;0; ; ; ; ; ; ;545;22;65;39; ; ; ; ; ; ;26;45;45;52; ; ; ;0; ;0; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ;0; ; ; ; ; ; ; ;1;0;0;0;0;0;805.277573
2023;7;5263;77;11;20101;5;3;2;3;20230717;1;2;2;     .;1;1;1;0;1;1;0;1;1;5;4;13;9;1;1;2; ;650;1;1;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0.5;1;24; ; ;2;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;6;0;1;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;15;25;40; ; ; ;15; ; ; ;20; ;0; ; ; ;0;0;0; ; ; ;0; ; ; ;0; ;0; ; ; ; ; ;0; ; ; ;0; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;115;0;0;1;1;2;2;7;2023;16;7;2023;2; ;1;40000;1;1;1;1;2; ;354; ; ; ; ;8;0; ;14;0; ;22;0;0; ; ; ; ; ; ; ; ; ;8;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;13;0; ; ; ; ;0;0; ; ; ; ;2237; ;354;8;14;22; ; ; ;8; ; ; ;13; ;0; ; ; ;0; ;0; ;0;0; ; ; ; ; ;0;0; ; ; ; ; ; ; ;0; ; ; ;0; ; ; ; ; ; ; ;1;0;0;0;0;0;805.277573
2023;7;5263;108;11;20101;5;3;2;3;20230716;2;1;1;20601;1;3;1;0;1;1;0;1;1;5;1;4;2;1;1;6; ;1500; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0.600000024;1;24; ; ;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0; ;0; ; ; ; ; ; ;60;54;0; ; ; ;10;55; ;30; ; ; ; ; ; ;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;114;95;0;1;1;1;1;7;2023;15;7;2023;2; ;2; ;1;1;1;1;2; ;817; ; ; ; ;0;5; ;0;30; ; ; ; ;0;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;39;0; ;35;0; ;0;0; ; ; ; ; ; ;817;0;0; ;0; ; ; ; ; ; ;39;35;0; ; ; ;5; ;30; ; ; ;16; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;0; ;0; ; ; ; ; ; ; ;1;0;0;0;0;0;805.277573
2023;7;5263;121;11;20101;5;3;2;3;20230718;1;1;2;     .;1;3;1;0;1;1;0;1;3;3;4;5;3;3;3;2; ;500;1;1;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0.600000024;1;24; ; ;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;1;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;15;203;60; ; ; ; ; ; ; ;0; ;60; ; ; ;0;0;0; ; ; ; ; ; ; ;50; ;0; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;338;50;0;1;1;1;29;6;2023;13;7;2023;2; ;2; ;1;1;1;1;2; ;272; ; ; ; ;8;0; ;111;0; ;33;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;32; ; ; ; ;39;0; ; ; ; ; ; ;272;8;111;33; ; ; ; ; ; ; ;0; ;39; ; ; ;0; ;0; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;32; ; ; ;0; ; ; ; ; ; ; ;1;0;0;0;0;0;805.277573
2023;7;5263;168;11;20101;5;3;2;3;20230712;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; .; .; .; .; ; .; .; ; ; ; ; ; .; .; .; .;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;805.277573
